Street # ,Street ,Street Type Quad ,Ward ,SSL
2600,GEORGIA ,AVE NW ,1,2884    0818
790,IRVING ,ST NW ,1,2890    0075
430,MANOR ,PL NW ,1,3036    0065
3200,PARK ,PL NW ,1,3045    0061
3200,PARK ,PL NW ,1,3045    0061
5505,5TH ,ST NW ,4,3260    0054
116,KENNEDY ,ST NW ,4,3391    0017
1860,REDWOOD ,TER NW ,4,2756    0009
2415,1ST ,ST NW ,5,3127    0051
2735,4TH ,ST NE ,5,3638    0051
5008,6TH ,PL NE ,5,3781    0011
1251,HOLBROOK ,TER NE ,5,4057    0191
1264,HOLBROOK ,TER NE ,5,4055    0840
2109,M ,ST NE ,5,PAR 01510077
1656,MONTELLO ,AVE NE ,5,4054    0017
1126,MORSE ,ST NE ,5,4065    0060
1182,MORSE ,ST NE ,5,4065    0073
1168,NEAL ,ST NE ,5,4064    0040
1277,PENN ,ST NE ,5,4060    0238
302,16TH ,ST NE ,6,4564    0119
718,19TH ,ST NE ,6,4513    0041
1118,3RD ,ST NE ,6,0748    0074
1012,9TH ,ST NE ,6,0909    0807
1122,ABBEY ,PL NE ,6,0773    0236
1229,E ,ST SE ,6,1019    0816
1226,G ,ST NE ,6,1004    0283
519,TENNESSEE ,AVE NE ,6,1053N   0018
527,42ND ,ST NE ,7,5091    0830
1036,45TH ,ST NE ,7,5157    0018
1316,45TH ,PL SE ,7,5365    0172
204,49TH ,ST NE ,7,5141    0811
616,49TH ,PL NE ,7,5182    0078
620,49TH ,PL NE ,7,5182    0076
819,50TH ,PL NE ,7,5177    0142
95,55TH ,ST SE ,7,5285    0237
262,56TH ,PL NE ,7,5249    0139
311,56TH ,ST NE ,7,5249    0078
302,63RD ,ST NE ,7,5268    0036
5024,A ,ST SE ,7,5328    0022
4945,AYERS ,PL SE ,7,5331    0032
5220,BASS ,PL SE ,7,5310    0028
3322,BLAINE ,ST NE ,7,5001S   0060
4712,BLAINE ,ST NE ,7,5141    0053
5411,C ,ST SE ,7,5293    0044
5111,CALL ,PL SE ,7,5313    0003
3206,D ,ST SE ,7,5430    0802
4335,DOUGLAS ,ST NE ,7,5115    0060
4319,E ,ST SE ,7,5394    0131
5304,E ,ST SE ,7,5299    0017
5705,EADS ,ST NE ,7,5228    0019
5101,F ,ST SE ,7,5317    0001
3389,HIGHVIEW ,TER SE ,7,5698    0819
4208,HILDRETH ,ST SE ,7,5383    0015
4660,HILLSIDE ,RD SE ,7,5362    0063
4402,KANE ,PL NE ,7,5097    0036
4623,MINNESOTA ,AVE NE ,7,5160    0083
2922,PENNSYLVANIA ,AVE SE ,7,5546    0807
1921,ROSEDALE ,ST NE ,7,4527    0018
4272,SOUTHERN ,AVE SE ,7,5368    0009
1601,17TH ,ST SE ,8,5597    0802
3831,1ST ,ST SE ,8,6116    0048
1427,22ND ,ST SE ,8,5564    0048
1435,22ND ,ST SE ,8,5564    0806
3105,22ND ,ST SE ,8,5852    0015
2905,30TH ,ST SE ,8,5729    0818
2449,AINGER ,PL SE ,8,5741    0815
909,ALABAMA ,AVE SE ,8,5943    0812
1879,ALABAMA ,AVE SE ,8,5892    0064
1921,ALABAMA ,AVE SE ,8,5892    0049
2551,ALABAMA ,AVE SE ,8,5730    0889
2608,BOWEN ,RD SE ,8,5869    0959
3305,BROTHERS ,PL SE ,8,6003E   0003
3336,BROTHERS ,PL SE ,8,6004E   0024
3336,BROTHERS ,PL SE ,8,6004E   0024
1131,CHICAGO ,ST SE ,8,5790    0016
1457,CONGRESS ,PL SE ,8,5889    0012
2501,ELVANS ,RD SE ,8,5873    0889
1712,FRANKFORD ,ST SE ,8,5823    0074
27,GALVESTON ,PL SW ,8,6239    0071
4324,HALLEY ,TER SE ,8,6214    0018
2321,HIGH ,ST SE ,8,5804    0195
760,HOWARD ,RD SE ,8,5860    1026
809,HOWARD ,RD SE ,8,5861    0082
813,HOWARD ,RD SE ,8,5861    0084
2204,IRVING ,ST SE ,8,5841    0029
2309,IRVING ,ST SE ,8,5846    0010
1225,MAPLE VIEW ,PL SE ,8,5802    0904
1303,MAPLE VIEW ,PL SE ,8,5803    0892
2910,MARTIN LUTHER KING JR ,AVE SE ,8,5951    0803
3006,MARTIN LUTHER KING JR ,AVE SE ,8,5952    0044
